121.2963 137.9237 72.6747 139.6889 100.8920 132.2916 -13.3791 121.2777
44.0881 51.3443 27.8368 54.6806 37.9911 51.4179 -4.7493 46.9912
60.4424 67.5958 34.8686 71.4029 52.2237 65.4151 -6.4388 59.7266
66.4182 73.4536 36.2772 76.0016 56.4415 70.0754 -7.9652 63.3462
49.6070 55.2882 28.1547 59.0560 43.2437 53.7541 -5.4166 48.8725
59.0035 68.4117 36.1731 70.3293 49.3191 67.3182 -7.0495 61.2057
44.7601 53.2861 29.8061 56.4110 38.2134 53.9514 -4.7354 49.4976
61.4475 71.4001 37.9709 73.2890 51.2826 70.2776 -7.2667 63.9871
46.9795 52.5572 26.8455 56.2653 41.0014 51.3032 -5.1498 46.6227
63.6450 70.3401 34.5880 72.8662 54.1419 67.1311 -7.6983 60.6098
65.1354 72.9323 36.7114 75.3048 55.1146 70.1289 -7.7822 63.5136
44.4153 51.4919 27.7212 54.8637 38.3370 51.4066 -4.7914 46.9520
42.4824 50.6889 28.3813 53.8072 36.3287 51.4845 -4.5212 47.2001
61.2204 71.3058 38.0484 73.1648 51.0466 70.2868 -7.2349 64.0163
64.3191 72.5932 36.9902 74.8585 54.2663 70.1618 -7.6680 63.6185
66.3601 73.4412 36.2931 75.9742 56.3872 70.0795 -7.9533 63.3564
26.7508 29.1188 13.6958 32.8350 24.3711 28.8184 -3.2705 25.6355
46.9878 54.2117 29.0453 57.6286 40.5282 53.8616 -5.0468 49.2116
57.3809 67.7375 36.7273 69.4423 47.6331 67.3837 -6.8227 61.4141
45.7145 53.6826 29.4802 56.9326 39.2051 53.9129 -4.8688 49.3751
48.7541 54.9455 28.4421 58.5941 42.3634 53.7904 -5.2937 48.9848
63.5378 70.2955 34.6246 72.8076 54.0305 67.1354 -7.6833 60.6236
62.8009 69.9894 34.8762 72.4049 53.2649 67.1651 -7.5803 60.7182
59.7999 68.7425 35.9011 70.7645 50.1466 67.2861 -7.1608 61.1035
13.5748 17.8920 10.5205 20.8986 12.3598 20.4340 -1.7917 18.3029
